Ano,UF,Capital,RM_RIDE,V2007,VD4016,VD4017,V5002A,V5002A2,V2010,VD3002,VD4002,V1032,V2009
2017,12,12,NA,2,NA,NA,2,NA,4,0,NA,91.41324244,5
2017,29,NA,NA,2,500,0,1,463,4,8,1,666.42935945,34
2017,32,NA,32,2,1200,1200,2,NA,4,11,1,329.98678371,25
2017,41,NA,NA,1,NA,NA,2,NA,1,11,NA,1049.56307318,59
2017,31,NA,NA,1,NA,NA,2,NA,4,NA,NA,662.4660183,0
2017,21,NA,NA,2,NA,NA,2,NA,4,6,NA,132.77586255,46
2017,43,43,43,1,NA,NA,2,NA,1,5,NA,431.16857225,72
2017,26,NA,NA,1,NA,NA,2,NA,1,2,NA,272.87084353,9
2017,26,NA,NA,1,NA,NA,2,NA,4,2,NA,539.06676835,9
2017,52,NA,NA,2,NA,NA,2,NA,1,11,2,162.35791049,22
2017,43,NA,NA,2,1600,1600,2,NA,1,5,1,669.76918752,44
2017,21,21,21,1,400,400,2,NA,4,5,1,247.00840066,14
2017,23,NA,NA,2,NA,NA,1,120,4,5,NA,412.40166214,38
2017,43,NA,NA,1,1800,2500,2,NA,1,13,1,696.65287299,40
2017,35,NA,NA,2,NA,NA,2,NA,1,NA,NA,1437.03164042,4
2017,17,NA,NA,2,NA,NA,2,NA,1,1,NA,136.28663482,8
2017,52,NA,52,2,NA,NA,2,NA,4,2,NA,749.76783003,64
2017,26,NA,NA,2,NA,NA,2,NA,4,0,NA,49.8038553,55
2017,43,NA,NA,2,NA,NA,2,NA,1,11,NA,332.79348617,34
2017,42,NA,NA,1,NA,NA,2,NA,1,NA,NA,250.25250115,4
2017,32,NA,32,2,1000,1000,2,NA,4,11,1,437.84212994,29
2017,29,NA,NA,1,937,937,2,NA,4,11,1,1177.56462976,23
2017,26,NA,NA,2,NA,NA,1,120,4,10,NA,299.45369227,26
2017,41,NA,NA,2,NA,NA,2,NA,1,3,NA,964.25444229,10
2017,13,13,13,1,NA,NA,2,NA,4,6,NA,748.43238931,55
2017,13,13,13,1,1700,1700,2,NA,1,11,1,376.29912396,23
2017,41,NA,NA,2,1100,1100,2,NA,1,11,1,188.16427307,24
2017,35,NA,NA,2,NA,NA,2,NA,1,10,2,1632.75552742,17
2017,29,29,29,1,3700,4200,2,NA,4,15,1,668.00429181,60
2017,22,NA,NA,1,NA,NA,2,NA,4,0,NA,232.17134137,5
2017,14,14,NA,2,120,120,2,NA,2,4,1,36.79812585,47
2017,33,33,33,1,NA,NA,2,NA,4,2,NA,218.38403238,9
2017,28,NA,NA,1,1300,1300,2,NA,4,11,1,225.34418253,24
2017,12,12,NA,2,NA,NA,2,NA,4,3,NA,94.59011275,10
2017,33,33,33,2,1000,1000,2,NA,4,15,1,706.46354286,45
2017,26,NA,NA,2,NA,NA,2,NA,4,0,NA,659.70060472,66
2017,35,35,35,1,5000,5000,2,NA,3,15,1,2165.36794939,44
2017,52,NA,NA,1,4000,4000,2,NA,4,2,1,99.53648016,53
2017,42,NA,42,2,NA,NA,2,NA,1,0,NA,541.1197143,5
2017,26,NA,26,1,NA,NA,2,NA,4,0,NA,1502.17254364,7
2017,50,50,NA,1,NA,NA,2,NA,4,NA,NA,213.19400824,3
2017,41,NA,NA,2,NA,NA,2,NA,1,3,NA,560.00408416,80
2017,53,53,NA,2,3000,3000,2,NA,2,11,1,441.23105365,40
2017,42,NA,42,1,1500,1500,2,NA,1,15,1,336.11457878,28
2017,27,NA,NA,2,NA,NA,2,NA,4,8,NA,231.19232914,15
2017,21,NA,NA,2,NA,NA,2,NA,4,6,NA,297.36656112,72
2017,31,NA,NA,1,2600,2600,2,NA,4,8,1,943.87472393,35
2017,35,NA,NA,1,NA,NA,2,NA,1,4,NA,1204.52518348,86
2017,26,NA,26,1,1000,1000,2,NA,4,11,1,531.29532745,36
2017,17,17,NA,1,3000,3000,2,NA,4,15,1,151.2227141,55
2017,53,53,NA,1,NA,NA,2,NA,4,2,NA,377.89756177,9
2017,26,NA,NA,2,NA,NA,2,NA,2,3,NA,541.84964876,16
2017,25,NA,NA,1,NA,NA,2,NA,4,6,NA,146.50831869,15
2017,33,NA,33,2,NA,NA,2,NA,1,4,NA,791.37996701,11
2017,35,NA,NA,2,NA,NA,2,NA,1,3,NA,1590.35629925,69
2017,23,NA,NA,1,NA,NA,2,NA,1,NA,NA,363.35513137,2
2017,35,NA,35,1,NA,NA,2,NA,2,0,NA,939.54890401,6
2017,31,NA,NA,2,NA,NA,2,NA,4,1,NA,869.21516935,61
2017,41,NA,NA,2,NA,NA,2,NA,1,1,NA,716.90598649,8
2017,23,NA,NA,1,300,300,2,NA,4,10,1,364.8039433,22
2017,42,NA,NA,2,937,937,2,NA,1,8,1,313.85806515,57
2017,50,NA,NA,2,1700,3200,2,NA,4,11,1,440.53484554,42
2017,33,NA,NA,1,NA,NA,2,NA,1,0,NA,578.37373907,6
2017,43,NA,NA,2,NA,NA,2,NA,1,6,NA,491.49604258,13
2017,23,NA,23,2,NA,NA,2,NA,1,7,2,338.95056701,46
2017,43,43,43,1,1680,1600,2,NA,2,8,1,310.07964364,59
2017,42,NA,NA,1,1200,1200,2,NA,1,8,1,251.5395411,21
2017,12,12,NA,2,NA,NA,2,NA,4,2,NA,77.28215711,8
2017,52,NA,52,2,NA,NA,2,NA,2,0,NA,785.43923505,9
2017,24,NA,NA,1,NA,NA,2,NA,1,11,NA,279.35149045000003,53
2017,31,NA,NA,2,NA,NA,2,NA,4,9,NA,205.62244078,48
2017,26,NA,NA,1,NA,NA,2,NA,4,11,1,311.37852871,25
2017,31,31,31,1,2000,2000,2,NA,1,15,1,551.87682782,41
2017,15,NA,NA,2,NA,NA,1,397,4,8,1,292.19685349,37
2017,35,NA,NA,1,NA,NA,2,NA,1,1,NA,1527.47494092,8
2017,32,NA,NA,2,NA,NA,2,NA,4,0,NA,225.35828137,76
2017,15,NA,NA,1,NA,NA,2,NA,4,11,NA,296.30651551,19
2017,35,NA,NA,2,935,935,2,NA,1,15,1,1582.89910189,52
2017,41,NA,NA,1,600,600,2,NA,1,2,1,240.06031358,52
2017,52,NA,NA,2,NA,NA,2,NA,4,NA,NA,301.74727982,2
2017,23,23,23,1,1000,1000,2,NA,4,9,1,395.68504927,36
2017,31,NA,NA,1,1200,1200,2,NA,4,8,1,228.14407222,54
2017,51,NA,NA,1,937,937,2,NA,1,11,1,334.50917374,20
2017,53,53,NA,2,5000,6500,2,NA,1,15,1,640.85469342,31
2017,35,NA,NA,1,1200,3600,2,NA,2,3,1,111.96713727,26
2017,14,14,NA,2,NA,NA,2,NA,1,10,1,79.36674833,16
2017,23,NA,23,2,NA,NA,2,NA,5,11,2,212.26036657,21
2017,16,NA,16,2,800,800,1,287,4,8,1,277.44347735,36
2017,26,NA,NA,2,NA,NA,2,NA,4,1,NA,333.17674967,8
2017,17,NA,NA,1,1500,1500,2,NA,4,4,1,251.29352356,39
2017,21,NA,NA,2,937,937,1,154,4,11,1,432.87399858,34
2017,33,NA,NA,1,NA,NA,2,NA,1,NA,NA,561.00652987,2
2017,29,NA,NA,1,NA,NA,2,NA,4,0,NA,545.75309660999994,5
